127.0.0.1 - - [14/Dec/2019:11:03:48 +0800] "GET / HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/Fristpage.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/js/laydate.js HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/js/show_date.js HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/images/pic2.jpg HTTP/1.1" 200 264729
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/js/jquery-1.11.0.min.js HTTP/1.1" 200 96385
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/CSS/index.css HTTP/1.1" 200 13093
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/js/jquery.SuperSlide.2.1.1.js HTTP/1.1" 200 11422
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/images/pic1.jpg HTTP/1.1" 200 179184
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/js/public.js HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/images/icon_leader.png HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/images/icon_jigou.png HTTP/1.1" 200 3271
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/images/icon_liucheng.png HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/images/icon_hottel.png HTTP/1.1" 200 15479
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:50 +0800] "GET /First/images/icon_notice.png HTTP/1.1" 200 15353
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:51 +0800] "GET /First/images/icon_alltel.png HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:51 +0800] "GET /First/images/icon_order.png HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:51 +0800] "GET /First/images/icon_people.png HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:51 +0800] "GET /First/images/slider-arrow.png HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:57 +0800] "GET /First/Fristpage.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [14/Dec/2019:11:03:57 +0800] "GET /First/CSS/index.css HTTP/1.1" 200 13093
